"ID","CAREX","SALIX","YR","X_L93","Y_L93"
"10,0/13,0",0,0,2022,967113.9,6446671.9
"10,0/14,0",0,0,2022,967125.8,6446672.9
"10,0/15,0",0,1,2022,967136.7,6446673.8
"10,0/17,0",0,0,2022,967160.6,6446675.8
"10,0/18,0",0,0,2022,967172.5,6446676.8
"10,0/19,0",0,0,2022,967184.4,6446677.8
"10,0/2,0",1,0,2022,966985,6446661.1
"10,0/3,0",0,0,2022,966995.9,6446662
"10,0/4,0",0,0,2022,967007.8,6446663
"10,0/5,0",0,0,2022,967019.7,6446664
"10,0/6,0",0,0,2022,967031.6,6446665
"10,0/7,0",0,0,2022,967042.5,6446666
"10,0/8,0",0,0,2022,967055.4,6446667
"10,0/9,0",0,0,2022,967066.3,6446667.9
"10,5/1,5",0,0,2022,966979,6446655.1
"10,5/10,5",1,0,2022,967084.2,6446664
"10,5/11,5",0,1,2022,967097.1,6446665
"10,5/12,5",0,1,2022,967108,6446666
"10,5/13,5",0,0,2022,967119.9,6446667
"10,5/14,5",0,1,2022,967131.8,6446667.9
"10,5/15,5",1,0,2022,967143.7,6446668.9
"10,5/16,5",0,1,2022,967155.6,6446669.9
"10,5/17,5",0,1,2022,967167.5,6446670.9
"10,5/18,5",0,0,2022,967178.4,6446671.9
"10,5/2,5",1,0,2022,966990.4,6446656.1
"10,5/3,5",0,0,2022,967002.8,6446657.1
"10,5/4,5",0,0,2022,967013.7,6446658.1
"10,5/5,5",0,1,2022,967026.6,6446659.1
"10,5/6,5",0,0,2022,967037.5,6446660.1
"10,5/7,5",0,0,2022,967049.4,6446661.1
"10,5/8,5",0,0,2022,967061.3,6446662
"10,5/9,5",0,0,2022,967073.3,6446663
"11,0/1,0",1,0,2022,966973.1,6446649.2
"11,0/10,0",0,0,2022,967079.2,6446658.1
"11,0/11,0",0,1,2022,967090.1,6446659.1
"11,0/12,0",0,0,2022,967103,6446660.1
"11,0/13,0",0,0,2022,967113.9,6446661.1
