"id_releve","Carex_present","Salix_present","both_species","ELEV_carex","YEAR_carex","x_l93_carex","y_l93_carex","ELEV_salix","YEAR_salix","x_l93_salix","y_l93_salix","ELEV","YR.REL","x_l93","y_l93","status","ELEV_class","type","period","decade"
"8975543",0,1,"0",NA,NA,NA,NA,2287,2002,995457.004,6355456.12,2287,2002,995457.004,6355456.12,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"8976454",0,1,"0",NA,NA,NA,NA,2060,2010,971950.748,6514106.321,2060,2010,971950.748,6514106.321,"Salix seul","2000–2500","Salix_only","(2009,2014]",2010
"8976492",0,1,"0",NA,NA,NA,NA,2779,2008,969520.461,6446032.313,2779,2008,969520.461,6446032.313,"Salix seul",">2500","Salix_only","(2004,2009]",2000
"8976533",0,1,"0",NA,NA,NA,NA,2391,2008,1021028.638,6407368.389,2391,2008,1021028.638,6407368.389,"Salix seul","2000–2500","Salix_only","(2004,2009]",2000
"8976785",0,1,"0",NA,NA,NA,NA,2553,2009,994788.755,6517753.858,2553,2009,994788.755,6517753.858,"Salix seul",">2500","Salix_only","(2004,2009]",2000
"8976973",0,1,"0",NA,NA,NA,NA,2434,2002,1009970.506,6374935.084,2434,2002,1009970.506,6374935.084,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"8977211",0,1,"0",NA,NA,NA,NA,2384,2017,932461.328,6455857.69,2384,2017,932461.328,6455857.69,"Salix seul","2000–2500","Salix_only","(2014,2019]",2010
"8978173",0,1,"0",NA,NA,NA,NA,2191,2013,953346.411,6446272.8294,2191,2013,953346.411,6446272.8294,"Salix seul","2000–2500","Salix_only","(2009,2014]",2010
"8978182",0,1,"0",NA,NA,NA,NA,2391,2016,932881.43,6456077.45,2391,2016,932881.43,6456077.45,"Salix seul","2000–2500","Salix_only","(2014,2019]",2010
"8978183",0,1,"0",NA,NA,NA,NA,2487,2013,948990.2934,6453776.9526,2487,2013,948990.2934,6453776.9526,"Salix seul","2000–2500","Salix_only","(2009,2014]",2010
"8978257",0,1,"0",NA,NA,NA,NA,2444,2016,933123.45,6456185.58,2444,2016,933123.45,6456185.58,"Salix seul","2000–2500","Salix_only","(2014,2019]",2010
"8978259",0,1,"0",NA,NA,NA,NA,2503,2002,1004216.395,6368123.411,2503,2002,1004216.395,6368123.411,"Salix seul",">2500","Salix_only","(1999,2004]",2000
"8978303",0,1,"0",NA,NA,NA,NA,2625,2016,944704.4233224,6464897.375486,2625,2016,944704.4233224,6464897.375486,"Salix seul",">2500","Salix_only","(2014,2019]",2010
"8978675",0,1,"0",NA,NA,NA,NA,2659,2013,968218.0068,6415725.3888,2659,2013,968218.0068,6415725.3888,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8978870",0,1,"0",NA,NA,NA,NA,2592,2013,948727.6068,6454038.174,2592,2013,948727.6068,6454038.174,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8979011",0,1,"0",NA,NA,NA,NA,2391,1998,997103.751,6500841.907,2391,1998,997103.751,6500841.907,"Salix seul","2000–2500","Salix_only","(1994,1999]",1990
"8979263",0,1,"0",NA,NA,NA,NA,2511,2004,1003001.749,6422713.221,2511,2004,1003001.749,6422713.221,"Salix seul",">2500","Salix_only","(1999,2004]",2000
"8979337",0,1,"0",NA,NA,NA,NA,2782,2011,1015572.39,6406809.119,2782,2011,1015572.39,6406809.119,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8979398",0,1,"0",NA,NA,NA,NA,2504,2011,990341.124,6416374.588,2504,2011,990341.124,6416374.588,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8979579",0,1,"0",NA,NA,NA,NA,2709,2008,1009884.554,6484116.594,2709,2008,1009884.554,6484116.594,"Salix seul",">2500","Salix_only","(2004,2009]",2000
"8979623",0,1,"0",NA,NA,NA,NA,2368,2017,932109.414,6456069.449,2368,2017,932109.414,6456069.449,"Salix seul","2000–2500","Salix_only","(2014,2019]",2010
"8979771",0,1,"0",NA,NA,NA,NA,2661,2017,1021968.66,6407601.12,2661,2017,1021968.66,6407601.12,"Salix seul",">2500","Salix_only","(2014,2019]",2010
"8979888",0,1,"0",NA,NA,NA,NA,2474,2011,1016580.208,6421678.722,2474,2011,1016580.208,6421678.722,"Salix seul","2000–2500","Salix_only","(2009,2014]",2010
"8979891",0,1,"0",NA,NA,NA,NA,2548,2011,1016138.826,6422318.911,2548,2011,1016138.826,6422318.911,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8979995",0,1,"0",NA,NA,NA,NA,2621,2012,1015295.71,6408751.14,2621,2012,1015295.71,6408751.14,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8980232",0,1,"0",NA,NA,NA,NA,2366,2002,1005187.047,6368016.307,2366,2002,1005187.047,6368016.307,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"8980254",0,1,"0",NA,NA,NA,NA,2424,2002,999881.569,6363659.068,2424,2002,999881.569,6363659.068,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"8981120",0,1,"0",NA,NA,NA,NA,2756,2019,1015522.355,6488240.008,2756,2019,1015522.355,6488240.008,"Salix seul",">2500","Salix_only","(2014,2019]",2010
"8981397",0,1,"0",NA,NA,NA,NA,2669,2011,1022174.093,6407408.341,2669,2011,1022174.093,6407408.341,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8981532",0,1,"0",NA,NA,NA,NA,2510,2011,1022026.093,6406913.23,2510,2011,1022026.093,6406913.23,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8981651",0,1,"0",NA,NA,NA,NA,2537,2007,1008169.118,6391942.63,2537,2007,1008169.118,6391942.63,"Salix seul",">2500","Salix_only","(2004,2009]",2000
"8981652",0,1,"0",NA,NA,NA,NA,2561,2007,1008392.058,6391833.493,2561,2007,1008392.058,6391833.493,"Salix seul",">2500","Salix_only","(2004,2009]",2000
"8981987",0,1,"0",NA,NA,NA,NA,2623,2014,951666.951,6440670.8106,2623,2014,951666.951,6440670.8106,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8982356",0,1,"0",NA,NA,NA,NA,2136,2009,944329.151,6433270.018,2136,2009,944329.151,6433270.018,"Salix seul","2000–2500","Salix_only","(2004,2009]",2000
"8983347",0,1,"0",NA,NA,NA,NA,2375,2002,1006791.362,6368704.001,2375,2002,1006791.362,6368704.001,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"8983375",0,1,"0",NA,NA,NA,NA,2403,2013,1015075.557,6410317.7274,2403,2013,1015075.557,6410317.7274,"Salix seul","2000–2500","Salix_only","(2009,2014]",2010
"8983794",0,1,"0",NA,NA,NA,NA,2619,2000,1003263.803,6366874.219,2619,2000,1003263.803,6366874.219,"Salix seul",">2500","Salix_only","(1999,2004]",2000
"8983808",0,1,"0",NA,NA,NA,NA,2371,2001,998636.641,6358278.708,2371,2001,998636.641,6358278.708,"Salix seul","2000–2500","Salix_only","(1999,2004]",2000
"8983839",0,1,"0",NA,NA,NA,NA,2967,2011,1014483.433,6408128.476,2967,2011,1014483.433,6408128.476,"Salix seul",">2500","Salix_only","(2009,2014]",2010
"8984136",0,1,"0",NA,NA,NA,NA,2685,2008,972108.354,6445410.855,2685,2008,972108.354,6445410.855,"Salix seul",">2500","Salix_only","(2004,2009]",2000
