ID;Year;X_L93;Y_L93;Care myos;Sali herb
6.5/13.5;2001;967117,8961;6446712,242;0;0
6.5/14.5;2001;967129,8006;6446713,227;0;0
6.5/15.5;2001;967141,2074;6446714,843;1;0
6.5/16.5;2001;967152,6174;6446715,195;0;0
6.5/17.5;2001;967164,5212;6446716,651;1;0
6.5/5.5;2001;967023,6526;6446704,367;1;0
6.5/6.5;2001;967035,557;6446705,351;0;0
6.5/7.5;2001;967047,4615;6446706,336;0;0
6.5/8.5;2001;967058,3739;6446707,32;0;0
6.5/9.5;2001;967071,2704;6446708,304;0;0
7.0/10.0;2001;967077,2226;6446703,382;0;0
7.0/11.0;2001;967088,135;6446704,367;0;0
7.0/12.0;2001;967100,0394;6446705,351;0;0
7.0/13.0;2001;967111,9439;6446706,336;0;0
7.0/14.0;2001;967123,8483;6446707,32;0;0
7.0/15.0;2001;967135,7496;6446708,584;0;1
7.0/16.0;2001;967147,6572;6446709,289;0;0
7.0/17.0;2001;967158,5696;6446710,273;0;0
7.0/5.0;2001;967017,9732;6446698,297;1;0
7.0/6.0;2001;967029,6048;6446699,445;0;0
7.0/7.0;2001;967041,5093;6446700,429;0;0
7.0/8.0;2001;967053,4137;6446701,413;0;0
7.0/9.0;2001;967065,1199;6446702,398;0;0
7.5/10.5;2001;967083,175;6446698,458;0;0
7.5/11.5;2001;967095,0795;6446699,444;0;0
7.5/12.5;2001;967105,9917;6446700,429;0;0
7.5/13.5;2001;967118,8881;6446701,413;0;0
7.5/14.5;2001;967129,8006;6446702,398;0;0
7.5/15.5;2001;967141,705;6446703,382;0;1
7.5/16.5;2001;967153,6094;6446704,367;0;0
7.5/17.5;2001;967165,5139;6446705,351;1;0
7.5/4.5;2001;967012,7975;6446691,993;1;0
7.5/5.5;2001;967024,6446;6446693,538;0;0
7.5/6.5;2001;967035,557;6446694,522;0;0
7.5/7.5;2001;967048,4535;6446695,507;0;0
7.5/8.5;2001;967059,3659;6446696,491;0;0
7.5/9.5;2001;967071,2704;6446697,476;0;0
8.0/10.0;2001;967077,2226;6446691,569;0;0
8.0/11.0;2001;967089,1932;6446692,983;0;0
8.0/12.0;2001;967100,9653;6446694,067;0;1
8.0/13.0;2001;967112,7046;6446695,085;0;0
8.0/14.0;2001;967124,5758;6446696,089;0;0
8.0/15.0;2001;967136,2819;6446697,153;1;0
8.0/16.0;2001;967147,6572;6446697,476;0;1
8.0/17.0;2001;967159,727;6446699,122;0;1
8.0/18.0;2001;967171,5984;6446700,007;1;0
8.0/4.0;2001;967006,8872;6446685,993;1;0
8.0/5.0;2001;967018,6809;6446687,064;0;0
8.0/6.0;2001;967030,3653;6446688,127;0;0
8.0/7.0;2001;967041,5093;6446688,616;0;0
8.0/8.0;2001;967054,4057;6446689,6;0;0
8.0/9.0;2001;967065,7415;6446691,114;0;0
8.5/10.5;2001;967083,1748;6446686,647;0;0
8.5/11.5;2001;967096,0713;6446687,631;0;0
8.5/12.5;2001;967106,9837;6446688,616;0;0
8.5/13.5;2001;967118,8881;6446689,6;0;0
8.5/14.5;2001;967130,7926;6446690,585;0;0
8.5/15.5;2001;967142,697;6446691,569;1;1
8.5/16.5;2001;967153,6094;6446692,553;0;1
8.5/17.5;2001;967166,5059;6446693,538;0;0
8.5/18.5;2001;967177,4183;6446694,522;1;0
8.5/3.5;2001;967001,8278;6446679,756;1;0
8.5/4.5;2001;967012,7402;6446680,74;1;0
8.5/5.5;2001;967024,6446;6446681,725;0;0
8.5/6.5;2001;967036,5491;6446682,709;0;0
8.5/7.5;2001;967048,4535;6446683,694;0;0
8.5/8.5;2001;967060,0736;6446684,943;0;0
8.5/9.5;2001;967072,2624;6446685,662;0;1
9.0/10.0;2001;967078,2146;6446680,74;0;1
9.0/11.0;2001;967089,8216;6446681,592;0;1
9.0/12.0;2001;967102,0235;6446682,709;0;1
9.0/13.0;2001;967112,9359;6446683,694;0;0
9.0/14.0;2001;967124,8404;6446684,678;0;0
9.0/15.0;2001;967136,7448;6446685,662;1;1
9.0/16.0;2001;967148,6493;6446686,647;0;1
